QueryId,Iteration,DocId,Relevance
Q1,1,L00498,1
Q1,1,L00457,1
Q1,1,L00493,1
Q1,1,L00373,1
Q1,1,T00145,1
Q1,1,L00009,1
Q1,1,L00049,1
Q1,1,T00013,1
Q1,1,L00353,1
Q1,1,T00140,1
Q2,1,C00018,1
Q2,1,C00797,1
Q2,1,M00042,1
Q2,1,C00556,1
Q2,1,C00544,1
Q2,1,S00186,1
Q2,1,C00713,1
Q2,1,C00163,1
Q2,1,C00959,1
Q2,1,C00688,1
Q3,1,T01183,1
Q3,1,L00493,1
Q3,1,P_1568,1
Q3,1,P_1650,1
Q3,1,T00013,1
Q3,1,P_1565,1
Q3,1,L00498,1
Q3,1,T00911,1
Q3,1,P_928,1
Q3,1,P_1652,1
Q4,1,C00466,1
Q4,1,D00720,1
Q4,1,C00189,1
Q4,1,C00200,1
Q4,1,C00335,1
Q4,1,P_345,1
Q4,1,C00032,1
Q4,1,C00193,1
Q4,1,C00549,1
Q4,1,C00791,1
Q5,1,C00017,1
Q5,1,S00038,1
Q5,1,C00097,1
Q5,1,S00100,1
Q5,1,C00373,1
Q5,1,C00450,1
Q5,1,S00809,1
Q5,1,S00335,1
Q5,1,M00099,1
Q5,1,C00193,1
Q6,1,L00317,1
Q6,1,L00491,1
Q6,1,L00361,1
Q6,1,L00188,1
Q6,1,L00120,1
Q6,1,C00397,1
Q6,1,P_1362,1
Q6,1,D00090,1
Q6,1,S00008,1
Q6,1,P04008,1
Q7,1,L00340,1
Q7,1,L00295,1
Q7,1,L00455,1
Q7,1,L00229,1
Q7,1,L00240,1
Q7,1,L00334,1
Q7,1,L00440,1
Q7,1,L00356,1
Q7,1,L00144,1
Q7,1,L00214,1
Q8,1,M00042,1
Q8,1,C00287,1
Q8,1,S00080,1
Q8,1,C00544,1
Q8,1,C00795,1
Q8,1,M00031,1
Q8,1,C00032,1
Q8,1,C00586,1
Q8,1,C00145,1
Q8,1,C00259,1
Q9,1,D00547,1
Q9,1,D00389,1
Q9,1,L00175,1
Q9,1,S00178,1
Q9,1,P_907,1
Q9,1,P_1898,1
Q9,1,P_1484,1
Q9,1,P_2106,1
Q9,1,P_1896,1
Q9,1,L00246,1
Q10,1,L00303,1
Q10,1,S00599,1
Q10,1,L00144,1
Q10,1,L00066,1
Q10,1,L00040,1
Q10,1,L00216,1
Q10,1,L00256,1
Q10,1,L00105,1
Q10,1,L00064,1
Q10,1,L00101,1
Q11,1,S00415,1
Q11,1,M00007,1
Q11,1,M00031,1
Q11,1,M00090,1
Q11,1,C00145,1
Q11,1,C00848,1
Q11,1,M00094,1
Q11,1,M00032,1
Q11,1,M00042,1
Q11,1,M00093,1
Q12,1,C00294,1
Q12,1,C00147,1
Q12,1,C00642,1
Q12,1,C00331,1
Q12,1,C00057,1
Q12,1,C00812,1
Q12,1,C00626,1
Q12,1,C00242,1
Q12,1,S00017,1
Q12,1,D00418,1
Q13,1,C00008,1
Q13,1,C00510,1
Q13,1,M00042,1
Q13,1,C00477,1
Q13,1,C00203,1
Q13,1,S00777,1
Q13,1,C00622,1
Q13,1,C00436,1
Q13,1,C00544,1
Q13,1,C00799,1
Q14,1,L00283,1
Q14,1,L00256,1
Q14,1,L00408,1
Q14,1,L00058,1
Q14,1,R00470,1
Q14,1,R00506,1
Q14,1,L00085,1
Q14,1,L00404,1
Q14,1,R00084,1
Q14,1,L00042,1
Q15,1,C00050,1
Q15,1,C00053,1
Q15,1,C00609,1
Q15,1,C00133,1
Q15,1,C00242,1
Q15,1,C00536,1
Q15,1,C00959,1
Q15,1,C00818,1
Q15,1,C00228,1
Q15,1,C00525,1
Q16,1,D00898,1
Q16,1,D00463,1
Q16,1,D00809,1
Q16,1,D00514,1
Q16,1,D00141,1
Q16,1,D00202,1
Q16,1,D00516,1
Q16,1,D00173,1
Q16,1,D00247,1
Q16,1,D00549,1
Q17,1,D00464,1
Q17,1,D00510,1
Q17,1,S00096,1
Q17,1,D00822,1
Q17,1,D00235,1
Q17,1,D00967,1
Q17,1,D00585,1
Q17,1,D00501,1
Q17,1,D00525,1
Q17,1,D00027,1
Q18,1,D00411,1
Q18,1,D00681,1
Q18,1,D00255,1
Q18,1,D00121,1
Q18,1,D00039,1
Q18,1,D00941,1
Q18,1,D00318,1
Q18,1,D00630,1
Q18,1,D00153,1
Q18,1,D00146,1
Q19,1,C00220,1
Q19,1,C00193,1
Q19,1,C00932,1
Q19,1,C00610,1
Q19,1,C00477,1
Q19,1,C00752,1
Q19,1,C00731,1
Q19,1,C00264,1
Q19,1,C00615,1
Q19,1,C00584,1
Q20,1,D00574,1
Q20,1,D00862,1
Q20,1,D00656,1
Q20,1,D00692,1
Q20,1,D00603,1
Q20,1,D00844,1
Q20,1,D00886,1
Q20,1,D00718,1
Q20,1,D00691,1
Q20,1,D00581,1
